
 Lista de Imóveis da Caixa;;Data de geração:;10/06/2024;;;;;;;
 8787707949800 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 208, BL 15 ;180.000,00;180.000,00;0.00;Apartamento, 0.00 de área total, 46.55 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707949800
 8555527515763 ;SP ;AMERICANA ;PARQUE RESIDENCIAL JAGUARI ;RUA DALVA DE OLIVEIRA, N. 188, Apto R9, 0 ;165.500,00;165.500,00;0.00;Apartamento, 0.00 de área total, 56.33 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555527515763
 8444420555413 ;SP ;AMERICANA ;PARQUE LIBERDADE ;RUA SERRA DO PARANAPIACABA, N. 235, 0 ;288.000,00;288.000,00;0.00;Casa, 0.00 de área total, 103.39 de área privativa, 174.62 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420555413
 8555513932243 ;SP ;AMERICANA ;PARQUE SAO JERONIMO ;RUA JOAO DELL AGNESE, N. 1345, LT 43, QD 03 ;361.981,94;361.981,94;0.00;Casa, 0.00 de área total, 99.25 de área privativa, 150.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555513932243
 8787704204766 ;SP ;AMERICANA ;PARQUE SAO JERONIMO ;RUA RIO CANINDE, N. 55, Apto 11, PV 01   BL I ;160.000,00;160.000,00;0.00;Apartamento, 0.00 de área total, 49.03 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787704204766
 8555536517617 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 302, 2 PAVIMENTO BLOCO 30 ;191.000,00;191.000,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555536517617
 8555538136831 ;SP ;AMERICANA ;JARDIM BERTONI ;RUA VALENCIA, N. 155, Apto 306, BLOCO 07 ;177.000,00;177.000,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555538136831
 8444410990281 ;SP ;AMERICANA ;SAO VITO ;RUA ARNO TOGNETTA, N. 401, Apto 204,  BL 2 ;202.053,91;200.000,00;0.00;Apartamento, 0.00 de área total, 50.20 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410990281
 8444409946800 ;SP ;AMERICANA ;PARQUE SAO JERONIMO ;ESTRADA DA BALSA, N. 2303, Apto 26, 0 ;202.875,91;200.000,00;0.00;Apartamento, 0.00 de área total, 58.66 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409946800
 1444416612930 ;SP ;AMERICANA ;JARDIM BELA VISTA ;RUA DO FLAMENGO, N. 311, Apto 72F ;236.320,00;230.000,00;0.00;Apartamento, 0.00 de área total, 58.20 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416612930
 1444417322880 ;SP ;AMERICANA ;VILA DAINESE ;RUA JOSE ZANETTI, N. 97, Apto 703, BL 1 ;262.086,84;253.000,00;0.00;Apartamento, 0.00 de área total, 53.45 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417322880
 8787706800382 ;SP ;AMERICANA ;FAZENDA SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 202, BL 15 GB A3B BOX 784 ;175.955,70;169.000,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706800382
 8787703947366 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 401, BL 23 GL A3B ;175.934,69;167.800,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787703947366
 1444405293332 ;SP ;AMERICANA ;VILA GALO ;AVENIDA MARGINAL, N. 1221, Apto 11, . ;228.655,46;218.000,00;0.00;Apartamento, 0.00 de área total, 52.85 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405293332
 8444413104207 ;SP ;AMERICANA ;BARROCA ;AVENIDA COMENDADOR THOMAZ FORTUNATO, N. 2000, Apto 301, BL 08 ;183.456,00;172.600,00;0.00;Apartamento, 0.00 de área total, 50.01 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413104207
 1444419447248 ;SP ;AMERICANA ;JARDIM BRASIL ;RUA JOSE MIGUEL AUGUSTTI, N. 375, LT 35A QD 1 ;925.046,69;863.000,00;0.00;Casa, 0.00 de área total, 218.16 de área privativa, 197.09 de área do terreno,  3 qto(s), WC, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419447248
 8555526353182 ;SP ;AMERICANA ;VILA DAINESE ;RUA JOSE ZANETTI, N. 97, Apto 1202, BL 01 ;207.620,54;188.000,00;0.00;Apartamento, 0.00 de área total, 53.45 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555526353182
 8444410112594 ;SP ;AMERICANA ;JARDIM SANTA ELIZA ;AVENIDA ANTONIO CENTURIONE BOER, N. 1518, Apto 321, BL 3 ;197.036,00;173.212,11;0.00;Apartamento, 0.00 de área total, 50.16 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410112594
 1444414024420 ;SP ;AMERICANA ;VILA AMORIM ;AVENIDA PADRE OSWALDO VIEIRA DE ANDRADE, N. 1185, Apto 204, BL 18  SUB 02 ;196.777,17;166.000,00;0.00;Apartamento, 0.00 de área total, 42.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414024420
 8787705862821 ;SP ;AMERICANA ;FAZENDA SAO DOMINGOS ;AVENIDA SAO JERONIMO, N. 2750, Apto 104, BL 27 ;175.990,64;142.000,00;0.00;Apartamento, 0.00 de área total, 38.92 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705862821
 10006530 ;SP ;AMERICO BRASILIENSE ;CENTRO ;RUA EMILIA GALLI, N. 433, CENTRO - NO LOCAL 435 ;380.000,00;255.000,00;0.00;Casa, 0.00 de área total, 88.20 de área privativa, 528.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006530
 10006529 ;SP ;AMERICO BRASILIENSE ;CENTRO ;RUA EMILIA GALLI, N. 443 ;336.000,00;212.000,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 480.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006529
 10006531 ;SP ;AMERICO BRASILIENSE ;CENTRO ;RUA EMILIA GALLI, N. 423 ;366.000,00;185.000,00;0.00;Casa, 0.00 de área total, 100.00 de área privativa, 480.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10006531
 8444413582770 ;SP ;ANDRADINA ;CONJUNTO HABITACIONAL ALVARO GASPARELLI ;RUA JOSE MARTINS RODRIGUES ANTIGA RUA 06, N. 550, LT 39 QD 16 ;233.000,00;233.000,00;0.00;Casa, 0.00 de área total, 40.28 de área privativa, 170.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413582770
 8555539666761 ;SP ;ANDRADINA ;LOTEAMENTO RESIDENCIAL ALTO DOS IPES ;RUA DR CELSO CHARURI, N. 351, CS 080 QD E ;131.224,96;130.000,00;0.00;Casa, 0.00 de área total, 55.05 de área privativa, 140.00 de área do terreno,  3 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555539666761
 1073841627429 ;SP ;ARACARIGUAMA ;CENTRO ;RUA ALAMEDA BELEM, N. 174, LT 21, QD 04 ;595.000,00;595.000,00;0.00;Casa, 0.00 de área total, 146.68 de área privativa, 804.00 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1073841627429
 8787708482922 ;SP ;ARACATUBA ;JARDIM PAULISTA ;ESTRADA ESTRADA VICENAL FAUSE CHADE, N. 399, Apto 302, 3 PAVIMENTO BL09 VAGA 39 ;65.395,60;118.000,00;44.58;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708482922
 8787711994459 ;SP ;ARACATUBA ;CHACARAS TV ;RUA RUA NOEL ROSA, N. 719, Apto 404, BL 06 VAGA 39 ;83.566,00;140.000,00;40.31;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711994459
 1555532933170 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL PEDRO PERRI ;RUA HONORIO DE OLIVEIRA CAMARGO JUNIOR N 370 APART, N. 370, Apto 74, BL 04  ANDAR 78 ;206.074,00;319.000,00;35.40;Apartamento, 0.00 de área total, 107.48 de área privativa, 0.00 de área do terreno,  3 qto(s), 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555532933170
 8787712260637 ;SP ;ARACATUBA ;FAZENDA DO ESTADO ;  ESTRADA VICINAL FAUSE CHADE, N. , , 07, N. 455,, N. 455, Apto 302, BL 07, VG 123 ;99.948,50;145.000,00;31.07;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712260637
 8555520924439 ;SP ;ARACATUBA ;SANTA LUZIA ;RUA GOULART, N. 155, Apto 404, BL 01 VAGA 22 ;108.912,58;137.000,00;20.51;Apartamento, 0.00 de área total, 48.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555520924439
 8787712634820 ;SP ;ARACATUBA ;UMUARAMA ;AVENIDA UMUARAMA, N. 1456, Apto 401, BL 06 VAGA 80 ;120.633,72;140.000,00;13.84;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712634820
 8555528487089 ;SP ;ARACATUBA ;PARQUE ADORATE ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 174, Apto 402, BL 01 VAGA 07 ;128.472,77;128.472,77;0.00;Apartamento, 0.00 de área total, 45.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555528487089
 8787709766401 ;SP ;ARACATUBA ;ARACATUBA ;RUA OITO, N. 51, LT 05, QD H ;158.567,21;158.567,21;0.00;Casa, 0.00 de área total, 49.18 de área privativa, 140.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787709766401
 8555535051304 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL DOUTOR ANTONIO VIL ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 174, Apto 107, BL 03 ;124.000,00;124.000,00;0.00;Apartamento, 0.00 de área total, 45.92 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555535051304
 10171528 ;SP ;ARACATUBA ;VILA MENDONCA ;RUA SAO PAULO, N. 915 ;1.155.000,00;1.155.000,00;0.00;Casa, 0.00 de área total, 414.22 de área privativa, 422.34 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10171528
 8787706418704 ;SP ;ARACATUBA ;VILA ALBA ;RUA GOULART  ANTIGA ESTRADA VICINAL FAUSE CHADE, N. 399, Apto 301, BL 01 ;140.000,00;140.000,00;0.00;Apartamento, 0.00 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706418704
 8555512209912 ;SP ;ARACATUBA ;AEROPORTO ;VIA AGNALDO FERNANDES, N. SN, CS 406 ;147.200,00;147.200,00;0.00;Casa, 0.00 de área total, 52.47 de área privativa, 80.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555512209912
 8412200006544 ;SP ;ARACATUBA ;CENTRO ;RUA MANOEL JOAQUIM DE SOUZA, N. 236, L 14 QD 07 ;83.000,00;83.000,00;0.00;Casa, 0.00 de área total, 40.28 de área privativa, 170.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8412200006544
